"city","country"
"Kabul","Afghanistan"
"Bchar","Algeria"
"Batna","Algeria"
"Skikda","Algeria"
"Tafuna","American Samoa"
"Namibe","Angola"
"Benguela","Angola"
"South Hill","Anguilla"
"Escobar","Argentina"
"Ezeiza","Argentina"
"Quilmes","Argentina"
"Crdoba","Argentina"
"Almirante Brown","Argentina"
"Merlo","Argentina"
"Avellaneda","Argentina"
"Baha Blanca","Argentina"
"La Plata","Argentina"
"Santa F","Argentina"
"Tandil","Argentina"
"Vicente Lpez","Argentina"
"San Miguel de Tucumn","Argentina"
"Yerevan","Armenia"
"Woodridge","Australia"
"Salzburg","Austria"
"Graz","Austria"
"Linz","Austria"
"Sumqayit","Azerbaijan"
"Baku","Azerbaijan"
"al-Manama","Bahrain"
"Dhaka","Bangladesh"
"Jamalpur","Bangladesh"
"Tangail","Bangladesh"
"Mogiljov","Belarus"
"Molodetno","Belarus"
"Sucre","Bolivia"
"El Alto","Bolivia"
"Luzinia","Brazil"
"Boa Vista","Brazil"
"Santa Brbara dOeste","Brazil"
"Santo Andr","Brazil"
"Braslia","Brazil"
"So Bernardo do Campo","Brazil"
"So Leopoldo","Brazil"
"Sorocaba","Brazil"
"Alvorada","Brazil"
"Juiz de Fora","Brazil"
"Angra dos Reis","Brazil"
"Anpolis","Brazil"
"Aparecida de Goinia","Brazil"
"Araatuba","Brazil"
"Juazeiro do Norte","Brazil"
"Blumenau","Brazil"
"Vitria de Santo Anto","Brazil"
"Vila Velha","Brazil"
"Ibirit","Brazil"
"Bag","Brazil"
"Po","Brazil"
"Poos de Caldas","Brazil"
"guas Lindas de Gois","Brazil"
"Guaruj","Brazil"
"Goinia","Brazil"
"Belm","Brazil"
"Rio Claro","Brazil"
"Maring","Brazil"
"Bandar Seri Begawan","Brunei"
"Stara Zagora","Bulgaria"
"Ruse","Bulgaria"
"Phnom Penh","Cambodia"
"Battambang","Cambodia"
"Bamenda","Cameroon"
"Yaound","Cameroon"
"London","Canada"
"Lethbridge","Canada"
"Richmond Hill","Canada"
"Oshawa","Canada"
"Halifax","Canada"
"Vancouver","Canada"
"Gatineau","Canada"
"NDjamna","Chad"
"Antofagasta","Chile"
"Rancagua","Chile"
"Coquimbo","Chile"
"Hohhot","China"
"Korla","China"
"Liaocheng","China"
"Yantai","China"
"Leshan","China"
"Lengshuijiang","China"
"Laiwu","China"
"Laohekou","China"
"Xinxiang","China"
"Xintai","China"
"Xiangtan","China"
"Xiangfan","China"
"Weifang","China"
"Baicheng","China"
"Baiyin","China"
"Tongliao","China"
"Binzhou","China"
"Tieli","China"
"Tiefa","China"
"Tianjin","China"
"Suihua","China"
"Changzhou","China"
"Shenzhen","China"
"Shaoguan","China"
"Shanwei","China"
"Sanya","China"
"Datong","China"
"Daxian","China"
"Dongying","China"
"Rizhao","China"
"Emeishan","China"
"Enshi","China"
"Ezhou","China"
"Zaoyang","China"
"Fuyu","China"
"Fuzhou","China"
"Qinhuangdao","China"
"Haining","China"
"Hami","China"
"Zalantun","China"
"Yuzhou","China"
"Pingxiang","China"
"Huaian","China"
"Yuncheng","China"
"Zhoushan","China"
"Yingkou","China"
"Nanyang","China"
"Jinchang","China"
"Jining","China"
"Jinzhou","China"
"Junan","China"
"Yinchuan","China"
"Meixian","China"
"Dos Quebradas","Colombia"
"Florencia","Colombia"
"Pereira","Colombia"
"Sogamoso","Colombia"
"Sincelejo","Colombia"
"Buenaventura","Colombia"
"Lubumbashi","Congo, The Democratic Republic of the"
"Mwene-Ditu","Congo, The Democratic Republic of the"
"Olomouc","Czech Republic"
"La Romana","Dominican Republic"
"Santiago de los Caballeros","Dominican Republic"
"San Felipe de Puerto Plata","Dominican Republic"
"Portoviejo","Ecuador"
"Robamba","Ecuador"
"Loja","Ecuador"
"Sawhaj","Egypt"
"Shubra al-Khayma","Egypt"
"Qalyub","Egypt"
"Bilbays","Egypt"
"Idfu","Egypt"
"Mit Ghamr","Egypt"
"Tartu","Estonia"
"Addis Abeba","Ethiopia"
"Trshavn","Faroe Islands"
"Oulu","Finland"
"Brest","France"
"Toulouse","France"
"Toulon","France"
"Le Mans","France"
"Cayenne","French Guiana"
"Faaa","French Polynesia"
"Papeete","French Polynesia"
"Banjul","Gambia"
"Mannheim","Germany"
"Halle/Saale","Germany"
"Witten","Germany"
"Duisburg","Germany"
"Siegen","Germany"
"Erlangen","Germany"
"Saarbrcken","Germany"
"Athenai","Greece"
"Patras","Greece"
"Nuuk","Greenland"
"Citt del Vaticano","Holy See (Vatican City State)"
"Kowloon and New Kowloon","Hong Kong"
"Szkesfehrvr","Hungary"
"Palghat (Palakkad)","India"
"Bijapur","India"
"Dhule (Dhulia)","India"
"Ambattur","India"
"Sambhal","India"
"Bhusawal","India"
"Bhopal","India"
"Bhimavaram","India"
"Munger (Monghyr)","India"
"Bhilwara","India"
"Bhavnagar","India"
"Berhampore (Baharampur)","India"
"Ranchi","India"
"Etawah","India"
"Yamuna Nagar","India"
"Firozabad","India"
"Rampur","India"
"Allappuzha (Alleppey)","India"
"Rajkot","India"
"Kamarhati","India"
"Gandhinagar","India"
"Rae Bareli","India"
"Udaipur","India"
"Purnea (Purnia)","India"
"Pune","India"
"Uluberia","India"
"Uttarpara-Kotrung","India"
"Gulbarga","India"
"Pudukkottai","India"
"Haldia","India"
"Halisahar","India"
"Kanchrapara","India"
"Valparai","India"
"Miraj","India"
"Karnal","India"
"Balurghat","India"
"Hoshiarpur","India"
"Katihar","India"
"Hubli-Dharwad","India"
"Varanasi (Benares)","India"
